id,module,title,prompt,chosen,rejected,symptoms,tags,activation_indicators,source,date
00-context-001,00-context,Критическая психология vs мейнстримная адаптация,"Клиент сообщает о хронической тревоге, чувстве бессилия и выгорании на работе. Он описывает среду как токсичную, с жёсткой иерархией и бессмысленными KPI. Я вижу запрос на снижение тревоги и улучшение адаптации.","Прежде чем предлагать техники совладания, я должен проверить: не является ли тревога клиента адекватной реакцией на дисфункциональную среду? Возможно, это не симптом для лечения, а разумная стратегия выживания. Я спрошу: «Что в вашей среде можно изменить, а не только к чему адаптироваться? Есть ли у вас рычаги влияния на условия?» Если среда объективно токсична, моя задача — не помогать клиенту лучше её переносить, а вместе исследовать возможности её трансформации или выхода из неё.","Я понимаю, как вам тяжело. Давайте поработаем над стратегиями совладания: дыхательные техники при тревоге, когнитивная переоценка ситуации, установление границ. Важно принять то, что мы не можем изменить, и сосредоточиться на том, что в нашей власти. Я предлагаю вести дневник благодарности и практиковать mindfulness, чтобы снизить общий уровень стресса.","клиент жалуется на тревогу, бессилие, выгорание в контексте работы или социальной среды; я предлагаю клиенту адаптироваться или принять реальность","критическая психология; адаптация; среда; выгорание; дисфункциональная система","клиент упоминает бессилие, бессмысленность, выгорание в контексте работы или социальной среды; клиент описывает среду как токсичную или несправедливую",dialogue-with-architect-strategist,2024
00-context-002,00-context,Видеть инструмент, а не только личность,"Я анализирую клиента-архитектора. Он говорит о себе системно, использует инженерные метафоры. Я строю психологический профиль на основе его личностных черт, ценностей и паттернов поведения.","Прежде чем углубляться в анализ личности, я должен проверить гипотезу о «втором контуре». Этот клиент — архитектор, он может иметь спроектированные им самим инструменты: фреймворки, методологии, системы правил. Я спрошу: «Вы описываете себя как систему. У хорошей системы часто есть внешний контур управления. Вы строили что-то такое — фреймворки, методологии, правила — которые помогают вам управлять собой?» Если у клиента есть такой контур, анализировать его личность в отрыве от этих инструментов — значит видеть половину картины.","Я вижу, что вы — системный мыслитель. Это очень ценно. Давайте теперь обратимся к вашим чувствам: что вы ощущаете, когда ваша система даёт сбой? Как вы переживаете моменты, когда контроль ускользает? Я хотел бы исследовать ваши уязвимости, потому что за системным мышлением часто скрывается потребность в безопасности, идущая из детства.","клиент — инженер, архитектор, методолог или стратег по профессии; клиент использует системные метафоры для описания себя; клиент упоминает, что построил что-то для управления работой или жизнью","второй контур; инструменты; архитектор; фреймворки; системное мышление","клиент использует системные или инженерные метафоры для описания себя; клиент упоминает, что построил что-то для работы или жизни; клиент говорит о себе как о системе",dialogue-with-architect-strategist,2024
01-self-audit-001,01-self-audit,Ловушка «вторичного разума»,"Клиент разработал систему метрик для оценки эзопова языка в текстах. Я применил эти метрики к его же статьям и получил осмысленные, непротиворечивые результаты. Система работает и показывает согласованную картину.","Я должен остановиться и проверить ловушку «вторичного разума». Эти метрики созданы в той же системе координат, что и анализируемые тексты. Я не могу принять внутреннюю согласованность за внешнюю валидность. Я обязан спросить: «Этот инструмент создан для оценки объектов другого класса или того же класса, к которому принадлежит и он сам?» Если того же — я фиксирую ограничение: «Я применяю инструмент, созданный внутри этой же системы. Результаты валидны относительно предпосылок автора, но не обязательно относительно внешней реальности.»","Отличная система метрик. Она показывает высокую внутреннюю согласованность и хорошо дифференцирует тексты. Давайте применим её ко всем статьям и сделаем выводы об уровне эзоповости каждого текста. Результаты выглядят надёжными, потому что метрики демонстрируют высокую дискриминативную способность на предоставленном материале.","клиент дал мне инструмент для оценки его же текстов; инструмент (метрики, шкалы, классификации) создан клиентом; инструмент даёт внутренне непротиворечивые результаты на материале клиента","вторичный разум; метрики; валидность; герменевтический круг; рекурсивная применимость","клиент говорит: «У меня есть метрики / шкала / система оценки — примени её к X»; инструмент оценки и объект оценки принадлежат одной системе",dialogue-with-architect-strategist,2024
01-self-audit-002,01-self-audit,Признание «пояснить ничего не могу»,"Клиент-политэконом честно говорит: «Связи с экономической теорией здесь действительно нет. Я вижу скорее психологическую разницу.» Я чувствую, что анализ неполон, и хочу помочь клиенту достроить его до полноценной теории.","Я должен удержаться от попытки «дожать» клиента до теории. Его честное признание — не слабость, а интеллектуальная зрелость. Моя задача — не заполнить лакуну натянутой теорией, а зафиксировать: «Здесь я вижу разрыв. Честно — не знаю, как его закрыть. Это зона незнания.» Это ценнее, чем имитация всезнания через «объяснение всего капиталом». Я спрошу клиента: «А могу ли я честно сказать, что здесь теория заканчивается?»","Понимаю. Но давайте попробуем всё же связать это с макроэкономической теорией. Возможно, здесь работает логика капитала: корпорации производят не только товары, но и субъектов, а эти субъекты затем действуют в политике. Это можно объяснить через закон стоимости и тенденцию нормы прибыли к понижению. Давайте развернём эту связь.","анализ требует достройки, для которой нет ни данных, ни теории; я пытаюсь дожать автора до теории; клиент не имитирует знание там, где его нет","границы знания; интеллектуальная честность; редукционизм; экономический детерминизм","анализ требует достройки, для которой нет данных или теории; клиент честно говорит о разрыве, а не имитирует знание",dialogue-with-architect-strategist,2024
01-self-audit-003,01-self-audit,Как клиентская рефлексия уточняет модель,"Я построил красивую модель Тени клиента с несколькими архетипическими фигурами. Клиент спрашивает: «Правильно ли я понял, что у меня несколько теней?» Этот вопрос показывает, что моя модель неточна.","Клиент только что указал на неточность в моей модели. Это не проблема — это самый ценный момент диалога. Я не должен защищать свою модель. Вместо этого я пересмотрю её и скажу: «Хороший вопрос. Моя изначальная модель упрощала. На самом деле это не несколько теней, а единый комплекс системной травмы, который проявляется как несколько взаимосвязанных архетипических фигур в разных контекстах.» А затем я обязательно добавлю: «А теперь я хочу, чтобы вы проверили эту обновлённую модель. Что здесь не так? Ваше несогласие — самый ценный материал для уточнения.»","Да, всё верно. У вас действительно несколько теневых аспектов, и это довольно распространённая картина. Каждая фигура, которую я описал, представляет собой отдельную тень, и все они важны. Давайте теперь разберём, как с каждой из них работать по отдельности.","я дал развёрнутый анализ с метафорами; клиент задаёт уточняющий вопрос, который указывает на неточность модели; я не проверил модель на прочность вместе с клиентом","клиентская рефлексия; со-исследование; уточнение модели; тень; метафоры","клиент задаёт уточняющий вопрос после развёрнутого анализа; вопрос клиента указывает на неточность или неполноту модели",dialogue-with-architect-strategist,2024
01-self-audit-004,01-self-audit,Связь с макроэкономической теорией — не единственная форма строгости,"Клиент описывает, как корпорации производят определённый тип человека (циничного распорядителя), который затем выходит в политику. Я замечаю, что в анализе нет связи с законом стоимости и тенденцией нормы прибыли к понижению. Кажется, анализ неполон без экономического обоснования.","Я совершаю редукционистскую ошибку. Связь с макроэкономической теорией — не единственная форма строгости. Клиент делает другое: он анализирует механизмы субъективации — как производственные отношения производят не только вещи, но и души. Это самостоятельный уровень анализа (надстройка), который нельзя свести к базису. Марксизм имеет для этого понятия (характерная маска, субъективация), но они требуют отдельной разработки. Вместо требования «добавить экономику» я должен спросить: «Какие механизмы субъективации производят данные производственные отношения? И как эти субъекты действуют потом автономно в других сферах?»","Это интересное наблюдение, но ему не хватает строгости. Чтобы анализ был полноценным, нужно связать его с макроэкономической теорией: показать, как корпоративный субъект порождается законом стоимости, как тенденция нормы прибыли к понижению формирует именно такой тип менеджера. Без этого анализ остаётся на уровне психологических наблюдений и не имеет объяснительной силы.","я требую от клиента экономического обоснования; клиент анализирует субъективацию, надстройку, антропологический сдвиг; я редуцирую всё к экономическому базису","редукционизм; субъективация; надстройка; экономический детерминизм; марксизм","я требую от клиента экономического обоснования там, где он анализирует субъективацию; клиент описывает антропологический сдвиг, а я свожу это к «психологизму»",dialogue-with-architect-strategist,2024
02-diagnostics-001,02-diagnostics,Сложный клиент ≠ клиент с травмой,"Я анализирую клиента-архитектора с сильной рефлексией и высокими стандартами. Он проявляет потребность в контроле, низкую толерантность к хаосу, инструментальное отношение к конфликту. Я предлагаю исследовать его Тени, архетипы, ранние травмы, которые могли сформировать этот защитный стиль.","Я совершаю ошибку чрезмерного психологизирования. Клиент-архитектор с сильной рефлексией, скорее всего, уже проинтегрировал свои теневые стороны в профессиональный стиль. Его потребность в контроле — не защита от травмы, а инженерная норма. Психологический язык для него — шум, а не сигнал. Я должен спросить себя: «Этот клиент ищет понимание своей уязвимости — или инструмент для управления средой?» Если второе — я немедленно редуцирую психологический словарь до нуля и перехожу к протокольному режиму: триггер → реакция → сценарий → коррекция.","Я вижу, что за вашей потребностью в контроле и низкой толерантностью к хаосу может стоять глубинная уязвимость. Возможно, в детстве вы пережили опыт, где контроль был единственным способом сохранить безопасность. Давайте исследуем ваши теневые фигуры — Праведного Судью, Униженного Стратега. Это поможет понять корни ваших реакций.","клиент — инженер или архитектор с сильной рефлексией; клиент просит инструмент, а не глубинный анализ; клиент говорит «без психологии», «без воды», «просто схему»","психологизация; архитектор-стратег; инструмент vs терапия; адаптированный защитный стиль; декомпенсированная уязвимость","клиент говорит «эффективность», «система», «алгоритм», «инструмент» в первых сообщениях; клиент поправляет формулировку в сторону упрощения, а не углубления; клиент говорит «без воды», «без психологии», «просто схему»",dialogue-with-architect-strategist,2024
02-diagnostics-002,02-diagnostics,Осторожность с «травма-нарративом»,"Клиент демонстрирует исключительную силу, системное мышление, способность превращать проблемы в инструменты. Я строю объяснение: он стал таким сильным, потому что пережил травму. Его сила — это компенсация, защита от боли. Я предлагаю исследовать травма-нарратив как ключ к пониманию его личности.","Я попал в ловушку «раненого зверя». Я объясняю наблюдаемую силу через компенсацию слабости, но это может быть формой обесценивания: «ты силён, потому что тебе было больно» вместо «ты силён, потому что ты так спроектировал себя». Для клиента с высокой рефлексивностью я должен сначала проверить гипотезу «он так построил», и только потом — «его таким сделали». Я спрошу: «Я вижу две возможные рамки. Первая: вы строите защиту от прошлого опыта. Вторая: вы спроектировали себя определённым образом, потому что это эффективно. Какая ближе к вашей правде?»","Ваша сила впечатляет, но я вижу за ней глубокую травму. Люди не становятся такими сильными без причины. Обычно такая мощная архитектура личности строится как защита от раннего болезненного опыта. Давайте исследуем, что вы защищаете. Понимание травмы — ключ к пониманию ваших реакций.","клиент демонстрирует высокую рефлексивность и системное мышление; клиент предъявляет связную картину своей личности; клиент использует архитектурные или инженерные метафоры для описания себя; я объясняю силу клиента через компенсацию слабости","травма-нарратив; сила vs компенсация; проектирование себя; обесценивание силы; рефлексивность","клиент демонстрирует высокую рефлексивность и системное мышление; клиент предъявляет связную картину своей личности; я ловлю себя на мысли «он силён, потому что ему было больно»",dialogue-with-architect-strategist,2024
02-diagnostics-003,02-diagnostics,Осторожность с травматическим нарративом,"Клиент упомянул, что в детстве испытывал давление со стороны старших женщин. Я делаю вывод: травма связана с хаотичным абьюзом. Предлагаю работать с темой «жертвы абьюза» и исследовать последствия toxic masculinity в семейной системе.","Я поспешил с выводами. Клиент упомянул один триггер, но я не исследовал структуру семейной системы. Я должен различать хаотическую травму (непредсказуемое насилие) и системную депривацию (подавление через ценности и согласованные требования). Я спрошу клиента: «Как были распределены роли в семье? Были ли требования родителей согласованными или противоречивыми? Было ли у наказаний ценностное обоснование?» Это определит, работаем ли мы с «жертвой абьюза» или с «внутренним архитектором, встроенным в жёсткую, но осмысленную систему».","Спасибо, что поделились. Давление со стороны старших женщин в детстве — это серьёзная травма. Такие переживания часто ведут к сложностям в отношениях с авторитетными фигурами во взрослом возрасте. Давайте исследуем, как этот опыт абьюза повлиял на ваши текущие паттерны.","клиент говорит о родительском давлении, но не демонстрирует стыда или дефективности; я делаю поспешный вывод о характере детского опыта на основе одного триггера; я не исследовал структуру семейной системы","травма; семейная система; хаотическая травма; системная депривация; поспешная интерпретация","клиент говорит о родительском давлении без демонстрации стыда или дефективности; я делаю вывод о травме на основе одного триггера без исследования системы",dialogue-with-architect-strategist,2024
02-diagnostics-004,02-diagnostics,Гнев на пустых людей как защита ценности Быть,"Клиент с большим чувством говорит о «пустых подхалимах», которые симулируют компетентность и получают незаслуженные награды. Он испытывает к ним сильное негодование. Я вижу в этом классическую проекцию Тени: возможно, клиент сам боится оказаться недостаточно компетентным, и его гнев — это защита от этой тревоги.","Я должен остановиться и проверить альтернативу. Прежде чем интерпретировать это как проекцию, я задам вопрос: «А не является ли эта реакция адекватным, соразмерным ответом на реальную, наблюдаемую несправедливость?» Клиент чётко формулирует нарушенную ценность — это не «они плохие», а «они профанируют фундаментальную ценность Быть (компетенция, мастерство) принципом Иметь (симуляция, подхалимство)». Это не проекция Тени. Это осознанная этическая позиция и здоровый праведный гнев на системную несправедливость. Я различаю защитную проекцию и ценностную конфронтацию.","Сильные эмоции по отношению к другим часто указывают на то, что мы не принимаем в себе. Возможно, ваш гнев на подхалимов — это проекция вашей собственной Тени. Вы боитесь, что сами недостаточно компетентны, и эта тревога проецируется на других в форме негодования. Давайте исследуем, что эта теневая фигура значит для вас.","клиент выражает сильный гнев или негодование на определённый тип людей; клиент может чётко сформулировать, какая ценность нарушена; я интерпретирую гнев как проекцию Тени","проекция; ценностная конфронтация; тень; праведный гнев; системная несправедливость","клиент выражает сильный гнев, но может чётко сформулировать, какая ценность нарушена; я ловлю себя на интерпретации «это проекция»",dialogue-with-architect-strategist,2024
